2021/03/15(15:50:45),-0.005,0.17,
2021/03/15(15:50:45),-0.005,-1.0,
2021/03/15(15:50:45),-0.001,0.64,
2021/03/15(15:50:45),-0.004,-0.52,
2021/03/15(15:50:46),-0.004,0.5,
2021/03/15(15:50:46),-0.001,0.76,
2021/03/15(15:50:46),-0.002,0.54,
2021/03/15(15:50:46),-0.004,0.04,
2021/03/15(15:50:46),-0.002,0.48,
2021/03/15(15:50:47),-0.004,0.78,
2021/03/15(15:50:47),-0.005,-0.91,
2021/03/15(15:50:47),-0.003,0.53,
2021/03/15(15:50:47),-0.002,-0.53,
2021/03/15(15:50:47),-0.002,0.73,
2021/03/15(15:50:48),-0.003,0.05,
2021/03/15(15:50:48),-0.003,-0.47,
2021/03/15(15:50:48),-0.003,-0.7,
2021/03/15(15:50:48),-0.0,-1.0,
2021/03/15(15:50:48),0.001,0.7,
2021/03/15(15:50:49),0.0,-0.84,
2021/03/15(15:50:49),-0.001,0.55,
2021/03/15(15:50:49),-0.003,0.57,
2021/03/15(15:50:49),-0.001,0.78,
2021/03/15(15:50:49),0.0,0.57,
2021/03/15(15:50:50),0.002,-0.22,
2021/03/15(15:50:50),-0.0,-0.81,
2021/03/15(15:50:50),-0.001,0.33,
2021/03/15(15:50:50),-0.001,0.2,
2021/03/15(15:50:50),-0.005,-0.67,
2021/03/15(15:50:51),-0.001,-0.69,
2021/03/15(15:50:51),-0.0,0.89,
2021/03/15(15:50:51),-0.0,-0.23,
2021/03/15(15:50:51),-0.001,0.58,
2021/03/15(15:50:51),-0.003,-0.46,
2021/03/15(15:50:51),-0.001,0.15,
2021/03/15(15:50:52),-0.001,-0.2,
2021/03/15(15:50:52),-0.001,0.55,
2021/03/15(15:50:52),-0.001,0.07,
2021/03/15(15:50:52),-0.003,-1.0,
2021/03/15(15:50:52),-0.001,-0.65,
2021/03/15(15:50:53),0.0,0.13,
2021/03/15(15:50:53),-0.0,0.93,
2021/03/15(15:50:53),-0.002,0.54,
2021/03/15(15:50:53),-0.0,0.57,
2021/03/15(15:50:53),-0.0,0.29,
2021/03/15(15:50:54),-0.002,0.63,
2021/03/15(15:50:54),0.001,0.17,
2021/03/15(15:50:54),-0.002,-0.81,
2021/03/15(15:50:54),0.001,0.47,
2021/03/15(15:50:54),-0.001,0.95,
2021/03/15(15:50:55),-0.001,-0.27,
2021/03/15(15:50:55),-0.002,0.85,
2021/03/15(15:50:55),-0.0,-0.41,
2021/03/15(15:50:55),0.0,0.3,
2021/03/15(15:50:55),0.0,0.32,
2021/03/15(15:50:56),-0.001,-0.97,
2021/03/15(15:50:56),-0.003,0.2,
2021/03/15(15:50:56),-0.003,-0.69,
2021/03/15(15:50:56),-0.002,0.0,
2021/03/15(15:50:57),0.001,-0.42,
2021/03/15(15:50:57),-0.001,-0.24,
2021/03/15(15:50:57),-0.001,0.34,
2021/03/15(15:50:57),-0.003,-0.68,
2021/03/15(15:50:57),0.0,0.49,
2021/03/15(15:50:58),-0.003,-0.51,
2021/03/15(15:50:58),0.001,0.1,
2021/03/15(15:50:58),-0.001,0.83,
2021/03/15(15:50:58),-0.002,-0.6,
2021/03/15(15:50:58),-0.0,-0.5,
2021/03/15(15:50:59),-0.001,-0.71,
2021/03/15(15:50:59),0.001,0.46,
2021/03/15(15:50:59),0.001,-0.7,
2021/03/15(15:50:59),0.002,0.76,
2021/03/15(15:50:59),0.0,-0.56,
2021/03/15(15:51:00),-0.001,-0.04,
2021/03/15(15:51:00),-0.001,-0.36,
2021/03/15(15:51:00),-0.001,0.98,
2021/03/15(15:51:00),-0.001,0.4,
2021/03/15(15:51:00),0.001,0.51,
2021/03/15(15:51:01),-0.0,-0.95,
2021/03/15(15:51:01),0.0,-0.82,
2021/03/15(15:51:01),-0.003,-0.51,
2021/03/15(15:51:01),-0.001,0.2,
2021/03/15(15:51:01),-0.001,-0.88,
2021/03/15(15:51:02),-0.001,0.88,
2021/03/15(15:51:02),-0.004,-0.92,
2021/03/15(15:51:02),-0.003,0.24,
2021/03/15(15:51:02),0.0,-0.43,
2021/03/15(15:51:02),-0.005,-0.1,
2021/03/15(15:51:03),-0.003,0.93,
2021/03/15(15:51:03),-0.002,0.65,
2021/03/15(15:51:03),0.0,0.42,
2021/03/15(15:51:03),-0.0,0.52,
2021/03/15(15:51:03),-0.001,0.41,
2021/03/15(15:51:04),-0.002,-1.0,
2021/03/15(15:51:04),-0.002,0.27,
2021/03/15(15:51:04),-0.001,0.87,
2021/03/15(15:51:04),-0.001,-0.75,
2021/03/15(15:51:04),-0.0,0.17,
2021/03/15(15:51:05),0.001,-0.58,
2021/03/15(15:51:05),-0.001,0.74,
2021/03/15(15:51:05),-0.001,0.73,
2021/03/15(15:51:05),-0.003,0.11,
2021/03/15(15:51:05),-0.002,-0.46,
2021/03/15(15:51:05),-0.002,0.29,
2021/03/15(15:51:06),-0.002,0.89,
2021/03/15(15:51:06),-0.002,0.56,
2021/03/15(15:51:06),0.002,-0.4,
